matter_id,law_firm,timekeeper_role,hours_billed,hourly_rate,invoice_amount,savings,approved_invoice_amount,budget_allocated,budget_variance,billing_violation_type,invoice_date
M-1769,Latham & Watkins,Partner,48.13,1215.0,58481.84,11696.37,46785.47,62126.23,-3644.39,Travel Billing,2024-09-11
M-2255,Linklaters,Partner,43.55,1080.0,47029.42,9405.88,37623.54,46426.16,603.26,Travel Billing,2025-03-22
M-3978,Clifford Chance,Associate,53.1,585.0,31065.62,6213.12,24852.49,25207.87,5857.75,Travel Billing,2025-03-28
M-3612,Hogan Lovells,Associate,40.02,495.0,19808.54,3961.71,15846.83,17728.2,2080.33,Travel Billing,2026-02-21
M-3358,Linklaters,Associate,61.3,540.0,33100.41,0.0,33100.41,29946.56,3153.86,None,2026-01-02
M-2532,Baker & McKenzie,Associate,54.3,450.0,24433.71,0.0,24433.71,22529.42,1904.29,None,2024-11-15
M-1505,Clifford Chance,Partner,26.22,1170.0,30680.4,0.0,30680.4,27423.29,3257.1,None,2026-01-27
M-2529,Freshfields,Partner,40.71,1125.0,45798.07,0.0,45798.07,38142.89,7655.18,None,2025-02-05
M-2537,Linklaters,Partner,36.92,1080.0,39878.46,0.0,39878.46,32531.26,7347.2,None,2025-01-01
M-2956,Skadden,Partner,66.07,1260.0,83253.02,12487.95,70765.06,68497.83,14755.19,Excess Research,2025-01-11
M-1064,Skadden,Associate,62.6,630.0,39436.55,5915.48,33521.06,33476.66,5959.89,Excess Research,2024-06-30
M-3210,Allen & Overy,Associate,51.76,540.0,27952.22,4192.83,23759.39,24346.93,3605.29,Excess Research,2025-01-13
M-3664,Skadden,Partner,56.33,1260.0,70981.97,10647.3,60334.67,83805.51,-12823.54,Excess Research,2025-01-31
M-3545,Freshfields,Associate,36.17,562.5,20346.36,0.0,20346.36,20143.74,202.62,None,2025-02-21
M-1535,Allen & Overy,Associate,38.83,540.0,20970.76,0.0,20970.76,22280.98,-1310.21,None,2024-09-20
M-2998,Skadden,Partner,37.44,1260.0,47172.65,9434.53,37738.12,39519.25,7653.39,Travel Billing,2024-03-19
M-2903,Baker & McKenzie,Associate,31.29,450.0,14079.08,0.0,14079.08,14784.59,-705.51,None,2024-05-18
M-3603,Hogan Lovells,Partner,26.34,990.0,26079.25,5215.85,20863.4,26833.2,-753.94,Travel Billing,2024-09-18
M-3880,Linklaters,Partner,49.44,1080.0,53392.99,10678.6,42714.39,50518.89,2874.1,Travel Billing,2025-08-12
M-3346,Skadden,Partner,45.19,1260.0,56934.91,8540.24,48394.68,53036.55,3898.36,Excess Research,2024-05-24
M-3688,Latham & Watkins,Partner,31.8,1215.0,38636.97,5795.55,32841.42,38320.02,316.95,Excess Research,2024-10-24
M-2051,Linklaters,Associate,29.93,540.0,16162.77,0.0,16162.77,13040.5,3122.27,None,2024-12-22
M-1760,Allen & Overy,Associate,21.98,540.0,11869.98,1780.5,10089.48,10853.9,1016.08,Excess Research,2024-04-05
M-2774,Clifford Chance,Partner,39.93,1170.0,46718.49,0.0,46718.49,39527.4,7191.09,None,2024-09-17
M-2578,DLA Piper,Associate,48.56,472.5,22946.42,0.0,22946.42,26751.04,-3804.62,None,2025-03-31
M-2678,Allen & Overy,Associate,19.51,540.0,10535.37,0.0,10535.37,11946.53,-1411.16,None,2024-09-17
M-3230,White & Case,Associate,27.15,517.5,14048.76,0.0,14048.76,13868.43,180.33,None,2024-09-09
M-1775,Baker & McKenzie,Partner,38.27,900.0,34438.84,6887.77,27551.07,37291.4,-2852.57,Travel Billing,2025-05-01
M-3170,Allen & Overy,Partner,53.62,1080.0,57904.53,8685.68,49218.85,52653.64,5250.89,Excess Research,2024-07-01
M-1911,Clifford Chance,Partner,53.48,1170.0,62576.47,9386.47,53190.0,74271.32,-11694.86,Excess Research,2024-08-12
M-1793,Allen & Overy,Partner,17.6,1080.0,19002.92,3800.58,15202.33,22768.55,-3765.64,Travel Billing,2025-04-30
M-2858,White & Case,Partner,30.7,1035.0,31776.92,4766.54,27010.38,29886.74,1890.18,Excess Research,2025-06-13
M-3784,DLA Piper,Associate,35.84,472.5,16935.75,2540.36,14395.39,16309.21,626.54,Excess Research,2025-01-13
M-2615,White & Case,Associate,37.36,517.5,19334.73,0.0,19334.73,17651.5,1683.23,None,2024-12-10
M-3858,Clifford Chance,Partner,40.15,1170.0,46981.26,0.0,46981.26,38243.32,8737.95,None,2025-04-12
M-1140,Freshfields,Associate,61.01,562.5,34315.64,5147.35,29168.29,32447.25,1868.4,Excess Research,2024-12-08
M-3966,Latham & Watkins,Partner,32.92,1215.0,40002.19,8000.44,32001.75,41631.31,-1629.12,Travel Billing,2024-04-25
M-3073,DLA Piper,Partner,57.61,945.0,54442.2,8166.33,46275.87,53958.61,483.59,Excess Research,2025-03-18
M-3544,Clifford Chance,Partner,12.75,1170.0,14920.06,2984.01,11936.05,16552.64,-1632.59,Travel Billing,2024-04-18
M-2603,Linklaters,Partner,7.54,1080.0,8138.13,1220.72,6917.41,7018.8,1119.33,Excess Research,2025-06-20
M-2370,Allen & Overy,Partner,59.5,1080.0,64260.09,9639.01,54621.08,63906.97,353.12,Excess Research,2024-05-13
M-2333,Clifford Chance,Partner,39.17,1170.0,45826.37,9165.27,36661.1,43522.0,2304.37,Travel Billing,2025-08-03
M-3288,Latham & Watkins,Associate,57.51,607.5,34935.8,6987.16,27948.64,28282.68,6653.12,Travel Billing,2025-10-03
M-3182,Hogan Lovells,Associate,46.01,495.0,22772.51,3415.88,19356.63,23254.9,-482.4,Excess Research,2025-11-25
M-2779,Linklaters,Partner,51.76,1080.0,55905.71,0.0,55905.71,46314.89,9590.82,None,2025-11-26
M-2954,Skadden,Partner,27.88,1260.0,35129.55,7025.91,28103.64,34989.31,140.24,Travel Billing,2026-01-01
M-3352,DLA Piper,Partner,29.48,945.0,27856.22,5571.24,22284.98,31214.84,-3358.62,Travel Billing,2024-07-12
M-1698,Linklaters,Associate,54.5,540.0,29427.93,0.0,29427.93,25529.83,3898.1,None,2024-10-18
M-2281,Latham & Watkins,Associate,68.54,607.5,41639.97,0.0,41639.97,33803.71,7836.26,None,2025-09-11
M-3794,Skadden,Partner,31.51,1260.0,39704.23,0.0,39704.23,34634.33,5069.9,None,2024-07-11
M-1472,Freshfields,Partner,13.26,1125.0,14918.06,2983.61,11934.45,13775.6,1142.46,Travel Billing,2024-07-18
M-3808,Allen & Overy,Partner,41.53,1080.0,44848.77,6727.32,38121.46,44026.66,822.11,Excess Research,2025-11-14
M-3987,Allen & Overy,Associate,64.4,540.0,34777.93,0.0,34777.93,38883.49,-4105.56,None,2024-07-08
M-1628,Linklaters,Partner,29.24,1080.0,31574.95,0.0,31574.95,29525.82,2049.13,None,2025-01-21
M-3048,Allen & Overy,Associate,46.08,540.0,24883.94,4976.79,19907.15,28672.79,-3788.85,Travel Billing,2024-09-02
M-3157,Latham & Watkins,Partner,33.37,1215.0,40546.37,0.0,40546.37,42694.5,-2148.13,None,2024-05-28
M-3294,Latham & Watkins,Associate,57.22,607.5,34763.62,0.0,34763.62,40054.68,-5291.06,None,2024-09-22
M-2302,Clifford Chance,Partner,50.68,1170.0,59301.02,0.0,59301.02,60487.09,-1186.07,None,2024-06-07
M-2100,Latham & Watkins,Associate,28.38,607.5,17241.1,3448.22,13792.88,13928.92,3312.18,Travel Billing,2024-05-29
M-1453,Allen & Overy,Associate,66.9,540.0,36126.53,0.0,36126.53,36201.77,-75.24,None,2024-10-15
M-2567,Clifford Chance,Partner,42.34,1170.0,49542.0,9908.4,39633.6,41988.07,7553.93,Travel Billing,2025-08-23
M-1493,Hogan Lovells,Associate,12.95,495.0,6411.52,961.73,5449.79,7523.22,-1111.69,Excess Research,2024-05-19
M-3775,Skadden,Associate,35.75,630.0,22523.56,0.0,22523.56,21936.82,586.74,None,2025-03-16
M-2671,Clifford Chance,Partner,56.06,1170.0,65592.38,9838.86,55753.52,68165.2,-2572.83,Excess Research,2025-08-08
M-3080,Freshfields,Associate,43.97,562.5,24733.17,0.0,24733.17,23427.62,1305.55,None,2024-07-11
M-2781,Hogan Lovells,Associate,56.09,495.0,27766.76,4165.01,23601.74,23722.54,4044.22,Excess Research,2025-06-14
M-3615,Linklaters,Partner,38.32,1080.0,41387.81,6208.17,35179.64,34487.13,6900.69,Excess Research,2024-11-26
M-1330,DLA Piper,Partner,17.9,945.0,16916.1,3383.22,13532.88,19859.29,-2943.19,Travel Billing,2025-03-17
M-1342,Clifford Chance,Associate,24.33,585.0,14234.77,2135.22,12099.55,16963.27,-2728.5,Excess Research,2024-03-13
M-1434,Allen & Overy,Associate,20.94,540.0,11310.3,0.0,11310.3,10924.05,386.25,None,2026-02-01
M-1165,White & Case,Partner,56.9,1035.0,58892.28,8833.84,50058.43,57197.44,1694.83,Excess Research,2025-12-15
M-1314,Baker & McKenzie,Partner,45.5,900.0,40950.45,8190.09,32760.36,33505.52,7444.92,Travel Billing,2025-01-05
M-3141,Baker & McKenzie,Associate,27.44,450.0,12348.35,1852.25,10496.1,13774.98,-1426.62,Excess Research,2024-05-11
M-3067,Hogan Lovells,Associate,8.41,495.0,4162.95,0.0,4162.95,4069.46,93.49,None,2026-02-17
M-3268,DLA Piper,Associate,31.07,472.5,14680.26,2936.05,11744.21,16460.76,-1780.5,Travel Billing,2025-01-27
M-3636,Hogan Lovells,Associate,56.79,495.0,28112.76,0.0,28112.76,25636.91,2475.84,None,2025-09-26
M-3190,Freshfields,Partner,33.92,1125.0,38158.63,0.0,38158.63,38741.34,-582.71,None,2026-01-16
M-3878,Latham & Watkins,Associate,34.85,607.5,21170.65,0.0,21170.65,22760.79,-1590.13,None,2024-03-15
M-2568,Skadden,Partner,55.04,1260.0,69356.66,10403.5,58953.16,77925.33,-8568.67,Excess Research,2025-09-02
M-2354,DLA Piper,Associate,55.48,472.5,26212.92,5242.58,20970.34,30851.77,-4638.85,Travel Billing,2025-05-23
M-1805,Latham & Watkins,Partner,54.94,1215.0,66752.17,10012.83,56739.35,64064.57,2687.61,Excess Research,2024-08-23
M-2250,Baker & McKenzie,Associate,35.06,450.0,15777.67,0.0,15777.67,17692.98,-1915.31,None,2025-06-03
M-2160,Allen & Overy,Partner,38.85,1080.0,41954.38,6293.16,35661.22,38893.19,3061.18,Excess Research,2024-08-25
M-2676,Baker & McKenzie,Associate,43.15,450.0,19417.43,0.0,19417.43,17894.79,1522.64,None,2026-02-28
M-3227,Baker & McKenzie,Partner,31.23,900.0,28107.88,0.0,28107.88,24188.18,3919.71,None,2025-05-21
M-2507,Skadden,Associate,44.96,630.0,28327.09,5665.42,22661.67,24977.2,3349.89,Travel Billing,2024-06-16
M-2524,Baker & McKenzie,Associate,46.74,450.0,21031.99,4206.4,16825.59,18361.27,2670.72,Travel Billing,2025-12-20
M-2028,Linklaters,Partner,54.19,1080.0,58522.11,0.0,58522.11,69780.31,-11258.2,None,2024-06-08
M-1104,White & Case,Associate,47.21,517.5,24431.63,4886.33,19545.3,27219.81,-2788.18,Travel Billing,2026-01-05
M-3484,DLA Piper,Associate,67.08,472.5,31693.41,6338.68,25354.73,32207.78,-514.37,Travel Billing,2024-12-25
M-3278,Baker & McKenzie,Partner,61.45,900.0,55301.13,0.0,55301.13,65242.44,-9941.31,None,2025-11-05
M-3931,DLA Piper,Partner,40.97,945.0,38715.68,0.0,38715.68,35846.25,2869.42,None,2026-01-30
M-3847,Allen & Overy,Partner,48.77,1080.0,52672.92,0.0,52672.92,61573.53,-8900.61,None,2025-01-21
M-3288,Baker & McKenzie,Associate,51.1,450.0,22992.77,3448.92,19543.85,22442.18,550.58,Excess Research,2024-07-07
M-1989,Skadden,Associate,63.78,630.0,40180.33,0.0,40180.33,35108.91,5071.43,None,2024-09-03
M-1404,Skadden,Associate,43.99,630.0,27716.24,4157.44,23558.81,25286.51,2429.74,Excess Research,2026-02-20
M-1329,Freshfields,Associate,54.93,562.5,30898.68,6179.74,24718.94,33666.02,-2767.34,Travel Billing,2025-09-19
M-1347,Hogan Lovells,Associate,61.68,495.0,30529.35,0.0,30529.35,29322.67,1206.67,None,2025-01-31
M-2386,White & Case,Associate,54.56,517.5,28236.32,4235.45,24000.88,23442.01,4794.31,Excess Research,2025-08-12
M-2905,Baker & McKenzie,Partner,22.86,900.0,20578.06,3086.71,17491.35,22309.32,-1731.26,Excess Research,2024-03-25
M-1468,Linklaters,Partner,20.71,1080.0,22364.08,3354.61,19009.47,19771.16,2592.93,Excess Research,2024-09-14
M-3252,Allen & Overy,Associate,21.99,540.0,11873.21,0.0,11873.21,11131.54,741.67,None,2025-07-07
M-2943,White & Case,Associate,54.65,517.5,28279.12,4241.87,24037.25,28319.41,-40.3,Excess Research,2025-02-12
M-1972,Baker & McKenzie,Associate,52.48,450.0,23615.95,4723.19,18892.76,22127.24,1488.71,Travel Billing,2024-11-11
M-1996,DLA Piper,Associate,29.83,472.5,14094.0,0.0,14094.0,14370.98,-276.99,None,2024-11-22
M-3856,Linklaters,Partner,15.63,1080.0,16881.3,3376.26,13505.04,17057.67,-176.37,Travel Billing,2024-10-21
M-3075,Hogan Lovells,Associate,30.9,495.0,15297.94,3059.59,12238.36,16915.56,-1617.61,Travel Billing,2025-10-10
M-3967,DLA Piper,Partner,38.78,945.0,36648.89,0.0,36648.89,40431.11,-3782.22,None,2024-05-11
M-1650,Hogan Lovells,Associate,56.83,495.0,28128.41,5625.68,22502.72,26243.28,1885.13,Travel Billing,2025-03-23
M-3304,Allen & Overy,Partner,13.54,1080.0,14627.67,0.0,14627.67,13338.36,1289.32,None,2024-12-13
M-3969,Allen & Overy,Partner,55.15,1080.0,59557.2,8933.58,50623.62,68267.59,-8710.39,Excess Research,2025-07-21
M-2812,Hogan Lovells,Partner,66.85,990.0,66176.84,13235.37,52941.47,58665.46,7511.38,Travel Billing,2024-07-31
M-2736,White & Case,Associate,22.5,517.5,11642.75,1746.41,9896.34,11707.35,-64.6,Excess Research,2026-02-20
M-3740,Clifford Chance,Partner,24.15,1170.0,28256.15,0.0,28256.15,33485.96,-5229.8,None,2026-01-03
M-1800,Baker & McKenzie,Partner,32.68,900.0,29415.13,5883.03,23532.1,25018.28,4396.85,Travel Billing,2024-05-02
M-2057,Freshfields,Associate,44.92,562.5,25270.27,5054.05,20216.21,27473.09,-2202.82,Travel Billing,2024-11-07
M-2664,DLA Piper,Partner,66.28,945.0,62635.27,9395.29,53239.98,51677.1,10958.17,Excess Research,2024-11-09
M-1520,DLA Piper,Partner,56.41,945.0,53308.39,7996.26,45312.13,47166.2,6142.2,Excess Research,2025-01-06
M-1279,White & Case,Associate,24.37,517.5,12613.43,0.0,12613.43,12067.38,546.05,None,2024-08-25
M-1114,DLA Piper,Associate,31.32,472.5,14797.0,0.0,14797.0,13013.68,1783.32,None,2025-02-02
M-3768,White & Case,Partner,47.76,1035.0,49435.17,0.0,49435.17,42787.97,6647.21,None,2025-08-17
M-1006,Latham & Watkins,Partner,33.55,1215.0,40768.2,6115.23,34652.97,40430.74,337.46,Excess Research,2024-11-02
M-2624,White & Case,Associate,62.12,517.5,32144.63,0.0,32144.63,26447.82,5696.81,None,2024-11-29
M-3095,Hogan Lovells,Associate,42.71,495.0,21139.52,4227.9,16911.62,17061.74,4077.78,Travel Billing,2025-03-12
M-1865,Freshfields,Partner,47.97,1125.0,53960.71,10792.14,43168.57,48374.79,5585.92,Travel Billing,2025-10-14
M-2168,White & Case,Partner,40.23,1035.0,41639.44,0.0,41639.44,44399.29,-2759.85,None,2024-05-25
M-1958,DLA Piper,Partner,57.76,945.0,54586.48,10917.3,43669.19,52018.85,2567.63,Travel Billing,2026-02-26
M-3598,Linklaters,Associate,67.14,540.0,36253.03,7250.61,29002.42,38166.85,-1913.82,Travel Billing,2025-02-08
M-3548,White & Case,Partner,23.99,1035.0,24825.99,3723.9,21102.09,25193.17,-367.18,Excess Research,2024-05-24
M-2520,Linklaters,Associate,32.41,540.0,17503.75,2625.56,14878.19,20749.76,-3246.0,Excess Research,2025-09-12
M-1512,DLA Piper,Associate,43.08,472.5,20352.97,0.0,20352.97,22323.2,-1970.23,None,2024-04-27
M-2489,Latham & Watkins,Partner,35.08,1215.0,42627.8,6394.17,36233.63,36573.21,6054.6,Excess Research,2024-06-16
M-2574,Hogan Lovells,Partner,37.57,990.0,37196.57,5579.49,31617.09,34036.47,3160.11,Excess Research,2024-09-25
M-3688,Allen & Overy,Associate,17.95,540.0,9694.92,1454.24,8240.68,11223.13,-1528.21,Excess Research,2025-08-22
M-2224,Clifford Chance,Associate,75.36,585.0,44084.97,8816.99,35267.98,40670.75,3414.23,Travel Billing,2025-05-15
M-3321,Linklaters,Partner,24.45,1080.0,26402.48,5280.5,21121.98,21992.36,4410.12,Travel Billing,2024-06-12
M-1718,Latham & Watkins,Partner,46.61,1215.0,56632.06,0.0,56632.06,47358.21,9273.85,None,2024-05-02
M-2309,DLA Piper,Partner,19.38,945.0,18313.11,0.0,18313.11,18293.31,19.81,None,2026-02-12
M-2155,Allen & Overy,Associate,40.02,540.0,21609.54,0.0,21609.54,17942.51,3667.03,None,2025-10-02
M-1835,Freshfields,Partner,39.89,1125.0,44872.99,8974.6,35898.39,39764.31,5108.68,Travel Billing,2025-07-04
M-1543,Freshfields,Associate,64.53,562.5,36296.36,0.0,36296.36,40218.67,-3922.31,None,2025-07-03
M-1901,Skadden,Partner,26.93,1260.0,33934.52,5090.18,28844.34,37638.08,-3703.56,Excess Research,2025-03-25
M-3785,Linklaters,Associate,37.26,540.0,20119.18,4023.84,16095.35,22676.35,-2557.17,Travel Billing,2026-02-12
M-3463,Clifford Chance,Partner,31.67,1170.0,37056.27,7411.25,29645.01,44411.92,-7355.65,Travel Billing,2025-05-06
M-1357,White & Case,Associate,55.55,517.5,28749.49,0.0,28749.49,23661.24,5088.25,None,2025-01-31
M-1787,Latham & Watkins,Partner,21.99,1215.0,26715.52,0.0,26715.52,26011.37,704.15,None,2025-02-28
M-1776,Freshfields,Partner,26.68,1125.0,30011.71,6002.34,24009.37,24257.41,5754.3,Travel Billing,2024-06-05
M-1174,Skadden,Partner,36.47,1260.0,45950.53,6892.58,39057.95,37679.21,8271.32,Excess Research,2025-08-27
M-2969,Hogan Lovells,Associate,24.21,495.0,11984.73,2396.95,9587.79,13052.48,-1067.75,Travel Billing,2025-02-25
M-3621,Linklaters,Partner,61.36,1080.0,66264.69,0.0,66264.69,64255.71,2008.98,None,2025-11-19
M-1295,White & Case,Partner,41.97,1035.0,43438.97,6515.85,36923.13,51078.43,-7639.46,Excess Research,2026-01-02
M-3778,Latham & Watkins,Partner,31.5,1215.0,38277.18,7655.44,30621.75,43375.06,-5097.88,Travel Billing,2025-06-30
M-2825,Hogan Lovells,Partner,43.53,990.0,43098.25,6464.74,36633.52,43813.39,-715.14,Excess Research,2025-01-24
M-2137,Baker & McKenzie,Associate,34.83,450.0,15675.47,2351.32,13324.15,13644.41,2031.06,Excess Research,2024-03-09
M-3629,Baker & McKenzie,Partner,22.13,900.0,19913.16,2986.97,16926.19,22808.76,-2895.6,Excess Research,2024-04-04
M-2266,Allen & Overy,Partner,44.44,1080.0,47992.22,7198.83,40793.39,50362.97,-2370.75,Excess Research,2025-08-31
M-2228,Clifford Chance,Associate,47.82,585.0,27976.26,4196.44,23779.82,22579.62,5396.64,Excess Research,2025-03-27
M-2325,Baker & McKenzie,Partner,25.82,900.0,23236.27,0.0,23236.27,26277.86,-3041.59,None,2025-04-07
M-3351,DLA Piper,Partner,54.18,945.0,51195.68,10239.14,40956.54,41716.47,9479.2,Travel Billing,2026-02-14
M-1486,Linklaters,Partner,58.27,1080.0,62936.25,9440.44,53495.81,54183.85,8752.4,Excess Research,2025-08-12
M-1746,Baker & McKenzie,Partner,41.19,900.0,37070.28,5560.54,31509.74,40652.12,-3581.84,Excess Research,2024-07-25
