request_id,matter_id,request_type,priority,automation_used,review_time_days,sla_target_days,sla_met
R-2083,M-2542,NDA,High,Yes,6,7,True
R-2084,M-3834,NDA,Medium,No,5,3,False
R-2085,M-1085,Vendor Contract,High,Yes,1,7,True
R-2086,M-3666,Vendor Contract,Medium,Yes,2,5,True
R-2087,M-3450,Employment Issue,Low,No,5,5,True
R-2088,M-3505,NDA,Medium,Yes,5,5,True
R-2089,M-2731,Employment Issue,Medium,Yes,3,7,True
R-2090,M-2653,Regulatory Review,Medium,No,10,7,False
R-2091,M-2980,Regulatory Review,Low,Yes,3,3,True
R-2092,M-1350,Vendor Contract,Medium,Yes,5,5,True
R-2093,M-3617,Regulatory Review,High,Yes,1,7,True
R-2094,M-1572,NDA,Low,Yes,1,3,True
R-2095,M-2886,Regulatory Review,High,Yes,6,3,False
R-2096,M-3227,Employment Issue,High,No,10,5,False
R-2097,M-1891,Vendor Contract,Medium,No,5,3,False
R-2098,M-3366,Employment Issue,High,Yes,2,3,True
R-2099,M-2122,Vendor Contract,Medium,No,10,5,False
R-2100,M-1844,NDA,Medium,Yes,3,7,True
R-2101,M-1345,Employment Issue,High,No,10,7,False
R-2102,M-2328,Regulatory Review,Medium,No,2,7,True
R-2103,M-3008,Employment Issue,High,Yes,1,7,True
R-2104,M-2810,Vendor Contract,Medium,Yes,1,7,True
R-2105,M-1937,NDA,Medium,No,2,3,True
R-2106,M-3970,Regulatory Review,Low,No,5,5,True
R-2107,M-1765,Vendor Contract,Low,Yes,1,5,True
R-2108,M-2377,NDA,Low,No,5,5,True
R-2109,M-2293,Regulatory Review,Low,Yes,1,5,True
R-2110,M-2091,Regulatory Review,Medium,No,10,7,False
R-2111,M-2466,Regulatory Review,High,No,5,7,True
R-2112,M-2718,NDA,Low,No,2,7,True
R-2113,M-3632,NDA,Medium,No,10,3,False
R-2114,M-2192,Vendor Contract,Medium,No,5,5,True
R-2115,M-1709,Employment Issue,High,Yes,7,3,False
R-2116,M-3194,Employment Issue,Medium,Yes,6,3,False
R-2117,M-2723,Employment Issue,High,No,5,7,True
R-2118,M-1483,NDA,High,Yes,2,7,True
R-2119,M-1840,Vendor Contract,Low,Yes,1,3,True
R-2120,M-1974,Vendor Contract,Low,Yes,1,7,True
R-2121,M-1777,Employment Issue,Medium,No,5,3,False
R-2122,M-1030,Vendor Contract,Medium,Yes,2,5,True
R-2123,M-3553,NDA,High,No,10,3,False
R-2124,M-1656,Vendor Contract,High,No,5,5,True
R-2125,M-1906,NDA,Medium,Yes,1,3,True
R-2126,M-2728,Employment Issue,Medium,No,5,7,True
R-2127,M-3073,Regulatory Review,High,Yes,1,3,True
R-2128,M-3862,Regulatory Review,Medium,No,5,5,True
R-2129,M-2978,Regulatory Review,High,Yes,2,3,True
R-2130,M-1587,Vendor Contract,Medium,Yes,6,5,False
R-2131,M-3926,Employment Issue,Medium,Yes,3,5,True
R-2132,M-2691,Regulatory Review,Low,No,2,7,True
R-2133,M-3535,Vendor Contract,High,Yes,2,5,True
R-2134,M-2203,Regulatory Review,Low,Yes,2,3,True
R-2135,M-2851,NDA,High,Yes,7,3,False
R-2136,M-1823,NDA,Medium,No,2,5,True
R-2137,M-3390,Employment Issue,Medium,Yes,1,7,True
R-2138,M-2430,Regulatory Review,High,No,5,3,False
R-2139,M-1026,Vendor Contract,Low,No,2,5,True
R-2140,M-1568,Regulatory Review,High,Yes,2,7,True
R-2141,M-1031,Vendor Contract,Medium,Yes,2,5,True
R-2142,M-2989,Regulatory Review,High,No,10,5,False
R-2143,M-3018,Vendor Contract,High,No,10,5,False
R-2144,M-3810,Employment Issue,High,Yes,2,5,True
R-2145,M-2744,Vendor Contract,Medium,Yes,5,5,True
R-2146,M-2881,Regulatory Review,Medium,No,2,5,True
R-2147,M-2174,Regulatory Review,High,No,2,3,True
R-2148,M-2308,Regulatory Review,Medium,Yes,7,3,False
R-2149,M-2873,Employment Issue,Low,No,5,7,True
R-2150,M-3437,Regulatory Review,Medium,Yes,5,7,True
R-2151,M-2232,Regulatory Review,Low,Yes,7,7,True
R-2152,M-1034,Regulatory Review,Low,Yes,1,7,True
R-2153,M-1784,Regulatory Review,Medium,Yes,3,7,True
R-2154,M-1681,Regulatory Review,Medium,No,10,3,False
R-2155,M-3284,Employment Issue,Low,Yes,3,5,True
R-2156,M-3788,Employment Issue,Medium,No,2,7,True
R-2157,M-1480,NDA,High,Yes,2,7,True
R-2158,M-2035,NDA,Medium,Yes,1,5,True
R-2159,M-2505,NDA,Low,Yes,2,3,True
R-2160,M-1375,NDA,Low,No,10,5,False
R-2161,M-3631,Employment Issue,High,Yes,5,3,False
R-2162,M-1603,NDA,Medium,No,10,3,False
R-2163,M-2892,NDA,High,Yes,5,3,False
R-2164,M-1850,Vendor Contract,High,No,10,5,False
R-2165,M-3575,Vendor Contract,Low,Yes,1,7,True
R-2166,M-3120,Regulatory Review,Low,Yes,3,3,True
R-2167,M-2276,NDA,Medium,Yes,7,5,False
R-2168,M-2342,Vendor Contract,High,No,10,3,False
R-2169,M-3508,Employment Issue,High,No,10,5,False
R-2170,M-2550,Regulatory Review,Low,Yes,3,5,True
R-2171,M-2165,Regulatory Review,High,Yes,5,5,True
R-2172,M-1631,Vendor Contract,Medium,No,10,7,False
R-2173,M-3880,Regulatory Review,High,Yes,2,7,True
R-2174,M-2949,Regulatory Review,High,No,2,7,True
R-2175,M-3770,Regulatory Review,Low,Yes,7,3,False
R-2176,M-1845,Employment Issue,High,No,5,5,True
R-2177,M-3861,NDA,High,Yes,7,5,False
R-2178,M-1186,NDA,Medium,Yes,3,3,True
R-2179,M-2819,NDA,Medium,No,2,3,True
R-2180,M-1121,Employment Issue,Low,No,5,7,True
R-2181,M-2014,Employment Issue,High,Yes,3,5,True
R-2182,M-1304,Regulatory Review,Low,Yes,1,5,True
R-2183,M-3107,Employment Issue,Medium,Yes,7,7,True
R-2184,M-2703,Employment Issue,Medium,Yes,5,7,True
R-2185,M-3202,Employment Issue,High,Yes,3,7,True
R-2186,M-2715,NDA,Low,No,2,7,True
R-2187,M-1482,Regulatory Review,Medium,Yes,1,5,True
R-2188,M-1478,Regulatory Review,High,No,2,7,True
R-2189,M-3595,Employment Issue,Low,No,2,3,True
R-2190,M-2880,Vendor Contract,Low,Yes,1,5,True
R-2191,M-3853,Regulatory Review,Medium,Yes,6,5,False
R-2192,M-1138,Vendor Contract,Low,No,5,3,False
R-2193,M-1449,Employment Issue,Low,Yes,1,7,True
R-2194,M-3310,Regulatory Review,High,Yes,1,7,True
R-2195,M-3283,NDA,High,Yes,3,3,True
R-2196,M-3277,Regulatory Review,High,Yes,1,7,True
R-2197,M-3409,Employment Issue,High,No,10,3,False
R-2198,M-2997,NDA,Medium,No,5,3,False
R-2199,M-2142,NDA,Low,Yes,3,3,True
R-2200,M-3147,Regulatory Review,High,Yes,3,7,True
R-2201,M-2237,Employment Issue,High,Yes,1,3,True
R-2202,M-1984,Vendor Contract,High,Yes,6,3,False
R-2203,M-3594,Regulatory Review,Medium,No,10,7,False
R-2204,M-1508,Employment Issue,Low,No,2,5,True
R-2205,M-3110,Regulatory Review,High,No,2,5,True
R-2206,M-1650,NDA,Low,No,5,3,False
R-2207,M-3724,Vendor Contract,Low,No,10,3,False
R-2208,M-3408,Employment Issue,Low,Yes,1,7,True
R-2209,M-1618,NDA,Low,No,2,3,True
R-2210,M-2308,Regulatory Review,Low,No,10,3,False
R-2211,M-3340,Regulatory Review,Low,Yes,1,7,True
R-2212,M-3263,Regulatory Review,High,No,5,7,True
R-2213,M-2410,NDA,High,No,5,7,True
R-2214,M-2981,NDA,High,No,5,7,True
R-2215,M-1879,Employment Issue,Medium,Yes,3,7,True
R-2216,M-3106,Employment Issue,High,Yes,3,5,True
R-2217,M-3073,Regulatory Review,Low,No,10,3,False
R-2218,M-2263,Vendor Contract,High,No,10,3,False
R-2219,M-1985,Vendor Contract,Low,No,5,7,True
R-2220,M-1775,Vendor Contract,Low,Yes,3,3,True
R-2221,M-3653,Vendor Contract,Medium,Yes,5,7,True
R-2222,M-1975,NDA,Medium,No,2,7,True
R-2223,M-2404,Employment Issue,High,No,5,5,True
R-2224,M-3912,Vendor Contract,High,Yes,6,5,False
R-2225,M-2690,Regulatory Review,High,No,5,5,True
R-2226,M-3434,Regulatory Review,Medium,Yes,2,5,True
R-2227,M-1875,Vendor Contract,High,No,5,3,False
R-2228,M-3657,NDA,Medium,No,2,3,True
R-2229,M-3062,Regulatory Review,Low,Yes,1,3,True
R-2230,M-1452,Regulatory Review,Low,Yes,6,7,True
R-2231,M-2068,NDA,Medium,No,5,3,False
R-2232,M-3248,Vendor Contract,High,No,5,7,True
R-2233,M-2519,Vendor Contract,Medium,No,2,5,True
R-2234,M-1265,Regulatory Review,High,Yes,1,5,True
R-2235,M-3243,NDA,Low,No,2,3,True
R-2236,M-2554,Employment Issue,Medium,Yes,1,7,True
R-2237,M-1481,NDA,Low,No,5,5,True
R-2238,M-1787,Employment Issue,Medium,No,10,3,False
R-2239,M-2099,Regulatory Review,Medium,No,2,5,True
R-2240,M-2144,Regulatory Review,High,No,5,7,True
R-2241,M-3500,Employment Issue,Medium,Yes,1,7,True
R-2242,M-3017,NDA,Medium,Yes,7,3,False
R-2243,M-2339,Employment Issue,Medium,No,5,3,False
R-2244,M-3576,Vendor Contract,Medium,No,2,7,True
R-2245,M-2735,Employment Issue,High,Yes,1,5,True
R-2246,M-1206,Regulatory Review,Low,Yes,3,7,True
R-2247,M-3535,Employment Issue,High,Yes,2,3,True
R-2248,M-1851,NDA,High,No,2,5,True
R-2249,M-2158,NDA,High,Yes,5,3,False
R-2250,M-3334,Regulatory Review,Medium,No,10,3,False
R-2251,M-3023,Regulatory Review,High,Yes,2,5,True
R-2252,M-2917,Employment Issue,Medium,No,2,7,True
R-2253,M-2949,Regulatory Review,High,No,5,7,True
R-2254,M-1490,NDA,Low,No,5,3,False
R-2255,M-2904,Vendor Contract,Medium,No,10,7,False
R-2256,M-1630,Employment Issue,Low,Yes,6,5,False
R-2257,M-1868,Employment Issue,High,No,2,5,True
R-2258,M-2431,NDA,High,No,5,3,False
R-2259,M-3166,Regulatory Review,High,No,2,5,True
R-2260,M-3755,Employment Issue,High,Yes,7,7,True
R-2261,M-3425,NDA,Medium,No,10,3,False
R-2262,M-1475,Regulatory Review,Medium,Yes,1,3,True
R-2263,M-2757,NDA,Low,Yes,1,3,True
R-2264,M-2264,Vendor Contract,Medium,No,2,5,True
R-2265,M-3512,NDA,High,Yes,3,7,True
R-2266,M-2434,Vendor Contract,High,Yes,3,7,True
R-2267,M-2708,NDA,High,No,5,7,True
R-2268,M-1336,Regulatory Review,Low,No,5,5,True
R-2269,M-2521,Vendor Contract,High,No,2,7,True
R-2270,M-2720,Regulatory Review,High,No,2,7,True
R-2271,M-3254,Employment Issue,Medium,No,10,7,False
R-2272,M-3448,NDA,Low,No,10,3,False
R-2273,M-1158,NDA,Medium,No,2,7,True
R-2274,M-1206,Employment Issue,Low,No,5,7,True
R-2275,M-3387,NDA,Low,No,2,7,True
R-2276,M-1496,Vendor Contract,Medium,No,5,3,False
R-2277,M-2307,NDA,Medium,No,5,5,True
R-2278,M-3087,Employment Issue,Low,No,2,3,True
R-2279,M-3591,Vendor Contract,Medium,No,5,5,True
R-2280,M-1406,Employment Issue,High,Yes,1,5,True
R-2281,M-3424,Vendor Contract,High,No,5,5,True
R-2282,M-2965,Vendor Contract,High,Yes,5,7,True
R-2283,M-3296,NDA,Medium,No,5,5,True
R-2284,M-3238,Vendor Contract,Medium,Yes,6,3,False
R-2285,M-1406,Vendor Contract,Low,Yes,2,7,True
R-2286,M-3138,Regulatory Review,Medium,No,2,7,True
R-2287,M-2528,NDA,High,Yes,1,5,True
R-2288,M-2281,Regulatory Review,Medium,No,2,7,True
R-2289,M-3326,Regulatory Review,Medium,No,2,5,True
R-2290,M-1825,Regulatory Review,Medium,No,5,3,False
R-2291,M-3758,Vendor Contract,Low,No,5,5,True
R-2292,M-3683,Employment Issue,High,Yes,7,7,True
R-2293,M-2219,Regulatory Review,Medium,No,10,5,False
R-2294,M-3307,Vendor Contract,High,No,2,3,True
R-2295,M-2391,NDA,High,Yes,1,7,True
R-2296,M-2059,Employment Issue,Low,Yes,3,3,True
R-2297,M-2707,NDA,Medium,Yes,5,3,False
R-2298,M-3411,NDA,Medium,No,5,3,False
R-2299,M-2907,Regulatory Review,High,No,2,5,True
R-2300,M-2768,Regulatory Review,Medium,No,5,7,True
R-2301,M-1545,NDA,Low,No,2,3,True
R-2302,M-2110,Regulatory Review,High,No,5,5,True
R-2303,M-1200,Vendor Contract,Medium,No,10,5,False
R-2304,M-1814,Regulatory Review,Low,No,5,3,False
R-2305,M-2231,NDA,Low,Yes,3,5,True
R-2306,M-3780,Vendor Contract,High,No,10,5,False
R-2307,M-1293,Vendor Contract,High,Yes,3,3,True
R-2308,M-3863,Employment Issue,High,No,5,5,True
R-2309,M-3875,Employment Issue,High,No,10,7,False
R-2310,M-3747,Employment Issue,Low,No,2,5,True
R-2311,M-3545,NDA,Medium,Yes,2,3,True
R-2312,M-1479,NDA,High,No,2,5,True
R-2313,M-2560,NDA,Low,No,2,7,True
R-2314,M-2498,Vendor Contract,Medium,No,5,7,True
R-2315,M-2785,Employment Issue,High,No,10,3,False
R-2316,M-1361,Employment Issue,Low,Yes,7,7,True
R-2317,M-1025,Employment Issue,Medium,Yes,5,7,True
R-2318,M-3089,Employment Issue,Medium,Yes,1,3,True
R-2319,M-3941,NDA,Low,Yes,7,7,True
R-2320,M-2228,NDA,Low,No,10,5,False
R-2321,M-2773,Regulatory Review,Medium,Yes,7,5,False
R-2322,M-2632,Regulatory Review,Low,Yes,3,7,True
R-2323,M-2329,Regulatory Review,High,No,10,5,False
R-2324,M-2000,Vendor Contract,Low,Yes,5,5,True
R-2325,M-3622,Vendor Contract,Low,Yes,3,5,True
R-2326,M-1576,Vendor Contract,High,Yes,1,3,True
R-2327,M-2476,NDA,High,No,10,3,False
R-2328,M-3770,NDA,Medium,No,10,7,False
R-2329,M-3810,Regulatory Review,High,Yes,6,5,False
R-2330,M-3687,Regulatory Review,Medium,No,5,7,True
R-2331,M-2344,Regulatory Review,Medium,Yes,6,5,False
R-2332,M-1587,Regulatory Review,Low,No,5,3,False
R-2333,M-2835,Vendor Contract,High,No,10,3,False
R-2334,M-1207,Employment Issue,Medium,Yes,1,7,True
R-2335,M-3372,Vendor Contract,Low,Yes,7,3,False
R-2336,M-1100,NDA,High,Yes,6,5,False
R-2337,M-3993,Employment Issue,Medium,No,2,5,True
R-2338,M-3990,Regulatory Review,Medium,Yes,1,3,True
R-2339,M-2620,Employment Issue,Medium,No,5,5,True
R-2340,M-2369,NDA,Medium,Yes,1,5,True
R-2341,M-2629,NDA,Medium,Yes,2,3,True
R-2342,M-1908,Employment Issue,High,Yes,7,3,False
R-2343,M-1360,Regulatory Review,Low,No,2,7,True
R-2344,M-3194,Vendor Contract,Medium,No,2,3,True
R-2345,M-1378,Regulatory Review,High,Yes,6,3,False
R-2346,M-1980,Employment Issue,Medium,No,5,7,True
R-2347,M-2111,Vendor Contract,Low,No,2,3,True
R-2348,M-2679,Regulatory Review,High,No,5,5,True
R-2349,M-3605,Vendor Contract,High,No,10,7,False
R-2350,M-1909,Regulatory Review,Medium,No,5,7,True
R-2351,M-3985,Employment Issue,Medium,No,10,7,False
R-2352,M-1765,Regulatory Review,High,No,10,3,False
R-2353,M-1741,Employment Issue,Low,No,10,3,False
R-2354,M-3855,NDA,Low,Yes,2,3,True
R-2355,M-2879,Employment Issue,High,No,10,5,False
R-2356,M-3753,Employment Issue,Low,No,5,5,True
R-2357,M-1846,Employment Issue,Medium,No,10,7,False
R-2358,M-1738,NDA,Medium,Yes,1,7,True
R-2359,M-1209,Vendor Contract,Low,Yes,3,7,True
R-2360,M-2610,NDA,Medium,Yes,5,7,True
R-2361,M-3022,Regulatory Review,Medium,No,2,3,True
R-2362,M-3072,NDA,Low,No,10,5,False
R-2363,M-1263,Employment Issue,Low,No,2,7,True
R-2364,M-2646,Employment Issue,High,No,2,5,True
R-2365,M-2568,Regulatory Review,Medium,Yes,1,5,True
R-2366,M-1408,NDA,High,Yes,3,5,True
R-2367,M-3430,Employment Issue,Medium,Yes,3,7,True
R-2368,M-3071,NDA,High,No,5,3,False
R-2369,M-1009,Employment Issue,Medium,No,10,7,False
R-2370,M-3737,Regulatory Review,Low,Yes,6,7,True
R-2371,M-3842,Vendor Contract,Medium,No,5,7,True
R-2372,M-2482,Regulatory Review,Medium,Yes,5,5,True
R-2373,M-2405,Employment Issue,Low,Yes,3,7,True
R-2374,M-1132,Vendor Contract,Low,Yes,3,3,True
R-2375,M-3138,Regulatory Review,Low,Yes,6,3,False
R-2376,M-1201,NDA,High,No,2,7,True
R-2377,M-1201,NDA,High,No,5,7,True
R-2378,M-1051,Vendor Contract,Medium,No,2,7,True
R-2379,M-2968,Vendor Contract,Low,No,2,3,True
R-2380,M-3350,Regulatory Review,Medium,Yes,2,3,True
R-2381,M-1797,NDA,Low,Yes,5,7,True
R-2382,M-3002,Vendor Contract,Medium,No,10,5,False
R-2383,M-3883,Vendor Contract,Medium,No,2,7,True
R-2384,M-3344,Vendor Contract,Medium,Yes,1,7,True
R-2385,M-3981,Regulatory Review,High,No,5,5,True
R-2386,M-3271,Regulatory Review,Low,Yes,6,5,False
R-2387,M-1514,Employment Issue,Low,Yes,1,7,True
R-2388,M-1788,NDA,Low,Yes,3,7,True
R-2389,M-2747,Employment Issue,Medium,No,10,5,False
R-2390,M-3689,Vendor Contract,Medium,No,2,7,True
R-2391,M-2943,Employment Issue,Medium,Yes,1,5,True
R-2392,M-2054,Vendor Contract,Medium,Yes,2,3,True
R-2393,M-1509,NDA,High,No,10,7,False
R-2394,M-2120,Regulatory Review,Low,Yes,5,5,True
R-2395,M-3579,Regulatory Review,Low,No,10,7,False
R-2396,M-3561,Vendor Contract,High,No,10,7,False
R-2397,M-1393,Vendor Contract,Medium,Yes,7,7,True
R-2398,M-1158,Regulatory Review,High,Yes,5,5,True
R-2399,M-3356,NDA,High,Yes,3,5,True
R-2400,M-3072,NDA,High,Yes,6,5,False
R-2401,M-3388,NDA,Low,Yes,1,5,True
R-2402,M-2888,Vendor Contract,Low,No,10,3,False
R-2403,M-1113,Vendor Contract,Low,No,2,7,True
R-2404,M-2058,Employment Issue,High,Yes,1,3,True
R-2405,M-2325,Regulatory Review,High,No,10,5,False
R-2406,M-3135,Vendor Contract,Medium,No,10,5,False
R-2407,M-2189,Vendor Contract,Low,Yes,5,3,False
R-2408,M-1936,Vendor Contract,High,No,5,7,True
R-2409,M-2239,Vendor Contract,Low,No,2,7,True
R-2410,M-1873,Regulatory Review,Medium,No,5,5,True
R-2411,M-1784,NDA,Medium,Yes,2,7,True
R-2412,M-1525,Employment Issue,High,Yes,3,5,True
R-2413,M-1436,NDA,Medium,Yes,5,5,True
R-2414,M-2058,NDA,High,Yes,1,5,True
R-2415,M-3438,NDA,Medium,Yes,3,7,True
R-2416,M-3253,Employment Issue,Medium,Yes,6,5,False
R-2417,M-1329,Employment Issue,Medium,No,10,5,False
R-2418,M-3365,Vendor Contract,Low,No,2,7,True
R-2419,M-2334,NDA,High,Yes,1,7,True
R-2420,M-1542,NDA,High,No,10,5,False
R-2421,M-2001,NDA,Medium,No,5,7,True
R-2422,M-2024,Employment Issue,High,Yes,6,7,True
R-2423,M-1269,Regulatory Review,High,Yes,1,7,True
R-2424,M-2143,NDA,Medium,No,10,7,False
R-2425,M-2969,Employment Issue,Low,No,2,5,True
R-2426,M-2014,Employment Issue,Low,No,2,5,True
R-2427,M-3792,Vendor Contract,Medium,Yes,2,3,True
R-2428,M-3638,Employment Issue,Low,Yes,2,3,True
R-2429,M-1122,NDA,Low,Yes,2,7,True
R-2430,M-3979,Employment Issue,Medium,Yes,6,5,False
R-2431,M-1785,Regulatory Review,Low,No,5,7,True
R-2432,M-2258,Employment Issue,Low,Yes,5,3,False
R-2433,M-1304,Regulatory Review,Low,No,5,7,True
R-2434,M-3066,NDA,High,Yes,3,5,True
R-2435,M-3069,NDA,Low,No,2,7,True
R-2436,M-3007,Regulatory Review,Medium,No,2,7,True
R-2437,M-1609,Vendor Contract,Low,No,5,7,True
R-2438,M-2525,NDA,Low,No,2,3,True
R-2439,M-2957,Employment Issue,Low,Yes,1,5,True
R-2440,M-3678,Vendor Contract,High,No,5,3,False
R-2441,M-2408,Regulatory Review,High,No,2,5,True
R-2442,M-2549,NDA,Medium,No,5,3,False
R-2443,M-3668,Employment Issue,Medium,No,10,5,False
R-2444,M-3193,Vendor Contract,High,Yes,5,7,True
R-2445,M-2148,Regulatory Review,High,Yes,5,5,True
R-2446,M-1826,Employment Issue,Low,No,5,3,False
R-2447,M-3944,Regulatory Review,High,Yes,6,5,False
R-2448,M-2346,Regulatory Review,Low,No,10,5,False
R-2449,M-3113,Vendor Contract,Medium,No,2,7,True
R-2450,M-2385,Regulatory Review,High,Yes,6,5,False
R-2451,M-3230,Vendor Contract,High,Yes,7,5,False
R-2452,M-3692,Vendor Contract,Medium,Yes,2,7,True
R-2453,M-3639,Employment Issue,Low,No,2,3,True
R-2454,M-2172,NDA,High,No,5,3,False
R-2455,M-1690,Employment Issue,Medium,Yes,1,5,True
R-2456,M-3149,Regulatory Review,Low,Yes,6,5,False
R-2457,M-1059,Vendor Contract,Medium,Yes,1,5,True
R-2458,M-2440,Employment Issue,High,Yes,6,7,True
R-2459,M-2808,Vendor Contract,High,Yes,3,7,True
R-2460,M-3762,Employment Issue,Low,Yes,7,5,False
R-2461,M-1921,Employment Issue,Medium,Yes,2,3,True
R-2462,M-3940,Regulatory Review,High,Yes,3,3,True
R-2463,M-3539,Vendor Contract,Low,No,2,5,True
R-2464,M-1475,Vendor Contract,Low,No,2,7,True
R-2465,M-2606,NDA,Medium,Yes,1,7,True
R-2466,M-3962,Regulatory Review,Medium,Yes,1,5,True
R-2467,M-1119,NDA,High,Yes,7,7,True
R-2468,M-1330,Vendor Contract,High,Yes,6,7,True
R-2469,M-2013,NDA,Medium,Yes,5,7,True
R-2470,M-1847,Regulatory Review,Medium,Yes,1,5,True
R-2471,M-1372,Regulatory Review,Low,Yes,1,5,True
R-2472,M-1787,Vendor Contract,Low,No,5,3,False
R-2473,M-1063,NDA,High,Yes,7,7,True
R-2474,M-3302,NDA,Medium,No,5,5,True
R-2475,M-3729,Employment Issue,Medium,No,5,3,False
R-2476,M-3848,Regulatory Review,Medium,Yes,1,7,True
R-2477,M-3000,Vendor Contract,Low,Yes,7,7,True
R-2478,M-2042,Vendor Contract,Low,Yes,6,5,False
R-2479,M-2275,Regulatory Review,Low,Yes,5,5,True
R-2480,M-1548,Regulatory Review,Medium,No,10,5,False
R-2481,M-1435,NDA,High,No,5,5,True
